學校代碼,學校名稱,縣市別,中文圖書收藏冊數(冊)-總類,中文圖書收藏冊數(冊)-哲學類,中文圖書收藏冊數(冊)-宗教類,中文圖書收藏冊數(冊)-科學類,中文圖書收藏冊數(冊)-應用科學類,中文圖書收藏冊數(冊)-社會科學類,中文圖書收藏冊數(冊)-史地類,中文圖書收藏冊數(冊)-語言文學類,中文圖書收藏冊數(冊)-藝術類,外文圖書收藏冊數(冊),期刊合訂本(未以圖書編目)(冊),線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),視聽資料(件),圖書閱覽座位數(個),全年圖書(含視聽資料及其他館藏)借閱人次(人次),全年圖書(含視聽資料及其他館藏)借閱冊次(冊次),全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次),報紙(種),中.日文期刊(種),西文期刊(種)
0032,國立聯合大學,05 苗栗縣,10469,12529,5705,27446,57928,41340,22318,41783,20529,57763,15521,84,8,39510,340472,8577,374,12693,24173,511838,10,449,90
0033,國立虎尾科技大學,09 雲林縣,17121,9073,3362,25666,65781,24975,12168,33634,12975,46524,19724,138,0,55202,382895,6379,638,6927,32769,1301055,11,443,90
0035,國立臺南藝術大學,11 臺南市,6937,5250,5335,1831,4638,15323,25306,17875,40307,92253,25102,143,2,36543,2005367,32962,328,15940,52938,161568,10,243,130
0036,國立臺南大學,21 臺南市,45175,24161,12221,24590,29022,148912,39460,80265,38339,99391,29451,132,0,76185,584411,32515,562,14582,68132,266378,11,2993,1094
0037,國立臺北教育大學,30 臺北市,44127,25774,8040,29143,28831,128364,40538,97859,35677,93188,20527,208,9,63604,963803,23980,704,24183,100622,577700,6,351,77
0039,國立臺中教育大學,19 臺中市,43956,21596,5810,24604,29471,78195,34363,83453,31477,100894,0,82,0,39414,414076,26165,457,32002,79127,582705,10,459,37
0042,國立澎湖科技大學,16 澎湖縣,3942,13533,4694,26311,42195,35048,13917,36794,12800,27173,6145,68,1,69469,243288,12804,470,10588,20565,427690,10,1207,245
0043,國立勤益科技大學,06 臺中市,10497,15049,4936,22862,66374,36214,25679,48105,14592,44184,0,110,5,85797,415675,16143,848,20612,46955,582397,9,900,97
0044,國立體育大學,03 桃園市,4688,18058,3476,10861,33188,60178,13121,27609,14200,34086,13350,11,0,7139,16461,13645,240,4079,11048,103463,5,32,14
0046,國立臺北護理健康大學,30 臺北市,33122,11988,3136,15102,44597,31009,12424,36738,12112,93418,0,90,0,43275,116721,40771,340,17771,55181,631012,6,161,28
0047,國立高雄餐旅大學,50 高雄市,5603,12241,4169,5264,43778,27335,20292,42863,12616,24186,0,286,0,72729,325005,12112,652,27457,44216,543355,11,355,21
0048,國立金門大學,71 金門縣,11597,9534,5158,8403,27680,41780,24435,29558,12667,30715,3748,36,2,16900,47884,1172,431,4060,10608,49012,6,402,17
0049,國立臺灣體育運動大學,19 臺中市,7769,10636,3084,9559,27511,46576,13615,31692,18185,28308,11257,27,0,5854,139688,11274,310,3573,12156,86688,6,158,72
0050,國立臺中科技大學,19 臺中市,33898,24962,6390,22803,68306,55324,31686,72197,23668,60926,26518,207,9,95901,808369,23031,1171,29509,57211,1558323,19,1141,60
0051,國立臺北商業大學,30 臺北市,21920,11776,2181,17507,40996,39694,11277,36795,11546,41239,5058,79,1,54265,222316,2313,1081,14412,26900,1771957,8,239,5
0052,國立屏東大學,13 屏東縣,49185,35989,13880,36602,59889,188582,48651,148049,45414,105443,16372,139,0,101012,371858,28878,1040,57278,171834,4739585,16,2409,630
0053,國立高雄科技大學,50 高雄市,39308,35105,13641,76078,163177,129120,48914,130697,34266,170069,124745,421,14,51013,1325852,48117,2119,39892,99081,1877473,33,2034,153
